t,a_top_mg
0.0,0.0
0.007557419490218184,-0.1457235400551822
0.015114838980436368,-0.040473749556295555
0.02267225847065455,0.09135883764080809
0.030229677960872735,-0.18206531583482388
0.03778709745109092,-0.36439956501676884
0.0453445169413091,-0.346221696091727
0.05290193643152729,-0.3902481986548586
0.06045935592174547,-0.39225644285136724
0.06801677541196366,-0.5114032124284846
0.07557419490218184,-0.38768476272741637
0.08313161439240002,-0.27823860641293635
0.0906890338826182,-0.2685620203170013
0.09824645337283638,-0.11016878475557888
0.10580387286305458,-0.04429764994789026
0.11336129235327276,-0.1643724979330309
0.12091871184349094,-0.11228967447268796
0.12847613133370914,-0.246255385095201
0.13603355082392732,-0.12267390654568602
0.1435909703141455,-0.12923631215307374
0.15114838980436368,-0.15469061308239299
0.15870580929458186,-0.24962575719914776
0.16626322878480004,-0.07776822579756185
0.17382064827501822,-0.09895751846377128
0.1813780677652364,-0.15849057231564212
0.1889354872554546,-0.20729895511606103
0.19649290674567277,-0.1321318177412477
0.20405032623589098,-0.08037654573808475
0.21160774572610916,-0.022017104896472083
0.21916516521632734,0.03884593860871939
0.22672258470654552,0.3393937228830749
0.2342800041967637,0.282703548450563
0.24183742368698188,0.21119153013185535
0.24939484317720007,0.09745053962772397
0.2569522626674183,0.18410367101705255
0.2645096821576364,0.34257218481503565
0.27206710164785464,0.32676089769891115
0.2796245211380728,0.20917214205796705
0.287181940628291,0.09382780815236857
0.29473936011850915,0.18522933385156087
0.30229677960872736,0.28954616677132966
0.3098541990989455,0.3657395707314023
0.3174116185891637,0.27249768755511006
0.32496903807938193,0.30506671881784087
0.3325264575696001,0.32140926403440323
0.3400838770598183,0.3520063105620858
0.34764129655003645,0.4740168302243781
0.35519871604025466,0.5051403532211025
0.3627561355304728,0.6000002239533635
0.370313555020691,0.6090913429731755
0.3778709745109092,0.6491647501369328
0.3854283940011274,0.7371017983411581
0.39298581349134554,0.532287623390721
0.40054323298156375,0.4869269859146134
0.40810065247178196,0.42043162281347357
0.4156580719620001,0.3303248370520216
0.4232154914522183,0.2912062241563123
0.43077291094243647,0.5001091449911783
0.4383303304326547,0.37805456501263
0.44588774992287283,0.5130321013524128
0.45344516941309104,0.27640519093451144
0.4610025889033092,0.2287683279135238
0.4685600083935274,0.2508671602777264
0.47611742788374556,0.33226749542053163
0.48367484737396377,0.43110712018309677
