m,k,zeta,f1_Hz,rms_mg
1800000.0,36000000.0,0.009000000000000001,0.0,5.6932978946013755
1800000.0,36000000.0,0.01,0.0,5.693297889649264
1800000.0,36000000.0,0.011000000000000001,0.0,5.693297901355439
1800000.0,40000000.0,0.009000000000000001,0.0,5.693297891046024
1800000.0,40000000.0,0.01,0.0,5.693297916565263
1800000.0,40000000.0,0.011000000000000001,0.0,5.693297889033658
1800000.0,44000000.0,0.009000000000000001,0.0,5.693297918888283
1800000.0,44000000.0,0.01,0.0,5.693297912745546
1800000.0,44000000.0,0.011000000000000001,0.0,5.693297898362585
2000000.0,36000000.0,0.009000000000000001,1.737375459627671e-08,5.123967927589228
2000000.0,36000000.0,0.01,1.737375459627671e-08,5.123967915151675
2000000.0,36000000.0,0.011000000000000001,1.737375459627671e-08,5.123967883856434
2000000.0,40000000.0,0.009000000000000001,0.0,5.12396810230245
2000000.0,40000000.0,0.01,0.0,5.123968110195186
2000000.0,40000000.0,0.011000000000000001,0.0,5.1239681128133165
2000000.0,44000000.0,0.009000000000000001,0.0,5.123968112622964
2000000.0,44000000.0,0.01,0.0,5.123968084135537
2000000.0,44000000.0,0.011000000000000001,0.0,5.123968118502013
2200000.0,36000000.0,0.009000000000000001,9.708566618827964e-09,4.658152720277037
2200000.0,36000000.0,0.01,9.708566618827964e-09,4.65815273114044
2200000.0,36000000.0,0.011000000000000001,9.708566618827964e-09,4.658152713610581
2200000.0,40000000.0,0.009000000000000001,2.12307999707011e-08,4.658152620158528
2200000.0,40000000.0,0.01,2.12307999707011e-08,4.658152596591752
2200000.0,40000000.0,0.011000000000000001,2.12307999707011e-08,4.658152566023233
2200000.0,44000000.0,0.009000000000000001,0.0,4.65815282493287
2200000.0,44000000.0,0.01,0.0,4.658152831092532
2200000.0,44000000.0,0.011000000000000001,0.0,4.6581528414759905
